"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
5,8,"balanced","lognormal","homogeneous",0.3045,0.3877,0.6355,0.280049844730785,0.367499060339198,0.284713720354184
6,8,"balanced","lognormal","homogeneous",0.9671,0.5804,0.8579,0.280060080391985,0.367470498506219,0.262027041190651
8,8,"balanced","lognormal","homogeneous",1,0.8523,0.9844,0.280043611941909,0.367452518962783,0.206752537887403
10,8,"balanced","lognormal","homogeneous",1,0.9603,0.9985,0.280047823357789,0.367496162356111,0.149461192401393
5,3,"unbalanced","lognormal","homogeneous",0,0.2637,0.446,0.280048838196615,0.367500901707786,0.172586379482931
6,3,"unbalanced","lognormal","homogeneous",0.368,0.4115,0.6782,0.280051827281609,0.367509871442038,0.164576544550871
8,3,"unbalanced","lognormal","homogeneous",1,0.7042,0.9268,0.280044202235482,0.367507864870379,0.147249381552597
10,3,"unbalanced","lognormal","homogeneous",1,0.9479,0.9895,0.280047295157512,0.367511280981422,0.127422622612419
5,5,"unbalanced","lognormal","homogeneous",0.0269,0.3028,0.516,0.280043576823796,0.367509673760708,0.225804994806485
6,5,"unbalanced","lognormal","homogeneous",0.6332,0.4835,0.7655,0.280043336687936,0.367508509644717,0.206949359491732
8,5,"unbalanced","lognormal","homogeneous",1,0.7758,0.9581,0.280044546330046,0.367486084784843,0.175669740887132
10,5,"unbalanced","lognormal","homogeneous",1,0.9203,0.9939,0.280047409788236,0.367507023091214,0.140654889163947
5,8,"unbalanced","lognormal","homogeneous",0.3017,0.433,0.6598,0.280048024386239,0.367507358980248,0.282190930383497
6,8,"unbalanced","lognormal","homogeneous",0.9665,0.6214,0.8739,0.280048460826633,0.367497607544322,0.249444984908578
8,8,"unbalanced","lognormal","homogeneous",1,0.8825,0.9856,0.280054719668909,0.367455506732941,0.190070706302745
10,8,"unbalanced","lognormal","homogeneous",1,0.9672,0.9988,0.280043214267154,0.367506176790505,0.141109402119463
5,3,"balanced","poisson","homogeneous",0,NA,0.0379,0.280293757649939,0.367469879518072,0.0930760710728879
6,3,"balanced","poisson","homogeneous",0.3534,NA,0.2532,0.280069726902963,0.367485182049111,0.0757002271006813
8,3,"balanced","poisson","homogeneous",1,0.8532,0.9265,0.280092592592593,0.367469879518072,0.0466868665175799
10,3,"balanced","poisson","homogeneous",1,0.9961,0.9984,0.280045784051888,0.367497691597415,0.0270273192142618
5,5,"balanced","poisson","homogeneous",0.025,NA,0.0505,0.280045351473923,0.367502726281352,0.117912014055112
6,5,"balanced","poisson","homogeneous",0.5955,NA,0.3805,0.280045351473923,0.367505995203837,0.081907460950618
8,5,"balanced","poisson","homogeneous",1,0.8731,0.9635,0.280058345488643,0.367475458418226,0.0355445604381933
10,5,"balanced","poisson","homogeneous",1,0.9894,0.999,0.280062342644767,0.367469879518072,0.0141703674943106
5,8,"balanced","poisson","homogeneous",0.2446,NA,0.1116,0.280046003450259,0.36750651607298,0.127806960367062
6,8,"balanced","poisson","homogeneous",0.9522,NA,0.5863,0.280055594162613,0.367507746790616,0.0728910788608582
8,8,"balanced","poisson","homogeneous",1,NA,0.9859,0.280063711176002,0.36739203213927,0.0189908634955723
10,8,"balanced","poisson","homogeneous",0.4617,0.4593,0.4615,0,0.367461247883287,0.004617
5,3,"unbalanced","poisson","homogeneous",0,NA,0.0397,0.280080213903743,0.3675,0.0948487636463659
6,3,"unbalanced","poisson","homogeneous",0.3469,NA,0.2452,0.280046373824552,0.367501481920569,0.0761724849749773
8,3,"unbalanced","poisson","homogeneous",1,NA,0.9193,0.280061664953751,0.36746501361886,0.0466028828543334
10,3,"unbalanced","poisson","homogeneous",1,0.9921,0.9974,0.280047667688117,0.367507294104053,0.0273905064504643
5,5,"unbalanced","poisson","homogeneous",0.0229,NA,0.0519,0.280043586550436,0.367505995203837,0.12003216862119
6,5,"unbalanced","poisson","homogeneous",0.5928,NA,0.3745,0.280064205457464,0.367457599478147,0.0828589657543895
8,5,"unbalanced","poisson","homogeneous",1,NA,0.9611,0.280048901213585,0.367502423057978,0.0359257343220095
10,5,"unbalanced","poisson","homogeneous",1,0.9872,0.9979,0.280045351473923,0.367494270435447,0.0142540702497598
5,8,"unbalanced","poisson","homogeneous",0.2438,NA,0.1168,0.280061422159225,0.367479408716522,0.130211724263653
6,8,"unbalanced","poisson","homogeneous",0.9517,NA,0.573,0.280043383947939,0.367500791891036,0.0731480736454806
8,8,"unbalanced","poisson","homogeneous",1,NA,0.9839,0.280050073797032,0.367461159083641,0.0192703104254306
10,8,"unbalanced","poisson","homogeneous",0.454,0.4517,0.4537,0,0.367457024905071,0.00454
5,3,"balanced","negbin","homogeneous",0,NA,0.114,0.280078252363873,0.367487684729064,0.0762229980029575
6,3,"balanced","negbin","homogeneous",0.3257,NA,0.312,0.280045351473923,0.367485182049111,0.0524480109091863
8,3,"balanced","negbin","homogeneous",1,NA,0.7362,0.280043305665825,0.367493707299533,0.0228262556723245
10,3,"balanced","negbin","homogeneous",0.9726,NA,0.9003,0,0.367480434528677,0.009726
5,5,"balanced","negbin","homogeneous",0.02,NA,0.126,0.28006658343737,0.367482665911985,0.0911053815948908
