"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
10,5,"balanced","lognormal","heterogeneous",1,0.682,0.8101,0.280046464000893,0.367474536246368,0.034793742693314
5,8,"balanced","lognormal","heterogeneous",0.2651,0.1129,0.3196,0.280048786974451,0.36749891149063,0.173163171656652
6,8,"balanced","lognormal","heterogeneous",0.954,0.2161,0.4756,0.280055822187146,0.367491196972331,0.120410841792195
8,8,"balanced","lognormal","heterogeneous",1,0.5203,0.7224,0.280048013082012,0.367464320428734,0.0555096059373075
10,8,"balanced","lognormal","heterogeneous",1,0.7692,0.863,0.280043578601243,0.367451420709864,0.0259096891873685
5,3,"unbalanced","lognormal","heterogeneous",0,0.0909,0.2929,0.280045303772457,0.36749499631456,0.0885975015504563
6,3,"unbalanced","lognormal","heterogeneous",0.3041,0.173,0.4352,0.280045739434127,0.367483819242825,0.0696524343525806
8,3,"unbalanced","lognormal","heterogeneous",1,0.4978,0.6822,0.280046065933683,0.367477219643023,0.0425446825528511
10,3,"unbalanced","lognormal","heterogeneous",1,0.8687,0.832,0.280044921094157,0.367492242630685,0.025462656468024
5,5,"unbalanced","lognormal","heterogeneous",0.0226,0.0943,0.284,0.280043086866345,0.367506295250635,0.121626388061154
6,5,"unbalanced","lognormal","heterogeneous",0.5678,0.1906,0.4402,0.280044252659415,0.367504740488662,0.0870799481003509
8,5,"unbalanced","lognormal","heterogeneous",1,0.4767,0.6747,0.280043100930049,0.367493216755377,0.0473097320849872
10,5,"unbalanced","lognormal","heterogeneous",1,0.7331,0.83,0.280046301689458,0.367500921304594,0.0261611632299619
5,8,"unbalanced","lognormal","heterogeneous",0.2479,0.1406,0.3322,0.28004853101339,0.367492204939022,0.147588405454867
6,8,"unbalanced","lognormal","heterogeneous",0.9497,0.2529,0.4976,0.28005952006825,0.367509731515584,0.0970270899635178
8,8,"unbalanced","lognormal","heterogeneous",1,0.5669,0.7232,0.280044258851652,0.367503720087747,0.0443107245246567
10,8,"unbalanced","lognormal","heterogeneous",1,0.7972,0.8736,0.280046494824305,0.367509253560391,0.0204502741359248
5,3,"balanced","lognormal","homogeneous",0,0.1098,0.405,0.280044196060059,0.367507010229544,0.185649308456326
6,3,"balanced","lognormal","homogeneous",0.3832,0.2863,0.61,0.280043590315456,0.367504175053063,0.177888463933114
8,3,"balanced","lognormal","homogeneous",1,0.5952,0.9081,0.280044862768894,0.367510359801215,0.163060316010892
10,3,"balanced","lognormal","homogeneous",1,0.8638,0.983,0.280044425585175,0.367499577326852,0.143502905933845
5,5,"balanced","lognormal","homogeneous",0.0301,0.2218,0.4903,0.280044870533858,0.367501656843777,0.238004569687738
6,5,"balanced","lognormal","homogeneous",0.6378,0.4044,0.7291,0.280043564334613,0.367504867731351,0.218292949137743
8,5,"balanced","lognormal","homogeneous",1,0.7177,0.9474,0.280052381040807,0.367487550913121,0.184586986617443
10,5,"balanced","lognormal","homogeneous",1,0.8972,0.9935,0.280047880348385,0.367493987455258,0.154273372415921
5,8,"balanced","lognormal","homogeneous",0.3045,0.3877,0.6355,0.280049844730785,0.367499060339198,0.284713720354184
6,8,"balanced","lognormal","homogeneous",0.9671,0.5804,0.8579,0.280060080391985,0.367470498506219,0.262027041190651
8,8,"balanced","lognormal","homogeneous",1,0.8523,0.9844,0.280043611941909,0.367452518962783,0.206752537887403
10,8,"balanced","lognormal","homogeneous",1,0.9603,0.9985,0.280047823357789,0.367496162356111,0.149461192401393
5,3,"unbalanced","lognormal","homogeneous",0,0.2637,0.446,0.280048838196615,0.367500901707786,0.172586379482931
6,3,"unbalanced","lognormal","homogeneous",0.368,0.4115,0.6782,0.280051827281609,0.367509871442038,0.164576544550871
8,3,"unbalanced","lognormal","homogeneous",1,0.7042,0.9268,0.280044202235482,0.367507864870379,0.147249381552597
